Answer,read including very short notes or instructions that are only a few sentences long,read forms,read bills or financial statements,read instruction,read books,read reports,size of the longest document that you read,fill out bills or forms,write very short notes lists instructions that are only a few sentences long,what is the longest document that you write wrote,MEASURE OR ESTIMATE SIZES WEIGHTS DISTANCES,CALCULATE PRICES COSTS,PERFORM ANY OTHER MULTIPLICATION OR DIVISION,USE OR CALCULATE FRACTIONS DECIMALS PERCENTAGES,,,,
Position construction forms or molds.,0.59,0.69,0.47,0.37,0.24,0.33,0.64,0.58,0.59,0.62,0.57,0.4,0.54,0.38,,,,
Build construction forms or molds.,0.51,0.69,0.41,0.33,0.22,0.29,0.57,0.58,0.51,0.53,0.5,0.37,0.5,0.33,,,,
Perform housekeeping duties.,0.36,0.16,0.31,0.3,0.11,0.23,0.31,0.25,0.36,0.31,0.3,0.26,0.31,0.18,,,,
"Select tools, equipment, or technologies for use in operations or projects.",0.55,0.4,0.45,0.46,0.28,0.39,0.63,0.42,0.55,0.63,0.53,0.47,0.55,0.33,,,,
Prepare forms or applications.,0.56,0.84,0.48,0.39,0.26,0.39,0.6,0.67,0.56,0.59,0.44,0.34,0.55,0.33,,,,
Read documents to gather technical information.,0.57,0.51,0.57,0.48,0.38,0.57,0.68,0.47,0.57,0.69,0.44,0.4,0.53,0.28,,,,
"Calculate weights, volumes or other characteristics of materials.",0.64,0.55,0.41,0.35,0.4,0.32,0.69,0.47,0.64,0.64,0.7,0.48,0.64,0.55,,,,
Calculate financial data.,0.32,0.31,0.58,0.23,0.13,0.37,0.39,0.34,0.32,0.41,0.39,0.4,0.36,0.33,,,,
Use weapons or physical force to maintain security.,0.54,0.43,0.5,0.37,0.23,0.35,0.56,0.46,0.54,0.57,0.52,0.37,0.55,0.35,,,,
Participate in physical training to maintain fitness.,0.47,0.37,0.34,0.53,0.3,0.28,0.44,0.32,0.47,0.44,0.5,0.32,0.44,0.26,,,,
Provide information to coworkers.,0.49,0.37,0.42,0.32,0.34,0.43,0.5,0.35,0.49,0.55,0.37,0.33,0.47,0.19,,,,
Confer with coworkers to coordinate maintenance or cleaning activities.,0.57,0.41,0.41,0.39,0.23,0.36,0.56,0.41,0.57,0.56,0.53,0.43,0.56,0.38,,,,
Operate heavy-duty construction or installation equipment.,0.5,0.34,0.4,0.35,0.18,0.29,0.54,0.38,0.5,0.51,0.51,0.45,0.45,0.26,,,,
Repair electrical circuits or wiring.,0.35,0.26,0.23,0.36,0.12,0.21,0.35,0.29,0.35,0.33,0.4,0.41,0.35,0.25,,,,
Repair electrical equipment.,0.33,0.23,0.26,0.36,0.14,0.23,0.35,0.27,0.33,0.33,0.42,0.44,0.38,0.25,,,,
Analyze shipping information to make routing decisions.,0.53,0.44,0.52,0.4,0.29,0.43,0.62,0.46,0.53,0.61,0.51,0.58,0.52,0.31,,,,
Supervise maintenance workers.,0.42,0.25,0.4,0.33,0.11,0.34,0.41,0.33,0.42,0.41,0.38,0.4,0.35,0.32,,,,
Direct activities of subordinates.,0.52,0.49,0.45,0.43,0.17,0.38,0.47,0.42,0.52,0.49,0.43,0.34,0.6,0.4,,,,
"Document events or evidence, using photographic or audiovisual equipment.",0.61,0.51,0.51,0.48,0.38,0.47,0.67,0.47,0.61,0.68,0.52,0.39,0.59,0.34,,,,
Relay information about incidents or emergencies to personnel using phones or two-way radios.,0.66,0.44,0.55,0.39,0.33,0.51,0.62,0.51,0.66,0.66,0.52,0.45,0.57,0.31,,,,
Direct activities of subordinates.,0.52,0.49,0.45,0.43,0.17,0.38,0.47,0.42,0.52,0.49,0.43,0.34,0.6,0.4,,,,
Verify mathematical calculations.,0.38,0.33,0.36,0.36,0.21,0.25,0.37,0.27,0.38,0.36,0.54,0.48,0.53,0.49,,,,
Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields.,0.65,0.52,0.54,0.46,0.36,0.42,0.63,0.47,0.65,0.65,0.61,0.46,0.68,0.46,,,,
Apply mathematical models of financial or business conditions,0.65,0.55,0.65,0.42,0.39,0.44,0.68,0.52,0.65,0.67,0.63,0.57,0.65,0.45,,,,
Review art or design materials.,0.57,0.48,0.4,0.42,0.49,0.34,0.59,0.44,0.57,0.59,0.43,0.36,0.46,0.23,,,,
Study details of musical compositions.,0.6,0.48,0.41,0.43,0.42,0.38,0.58,0.42,0.6,0.58,0.47,0.3,0.47,0.35,,,,
Review production information to determine costume or makeup requirements.,0.66,0.54,0.51,0.43,0.41,0.43,0.67,0.53,0.66,0.67,0.55,0.51,0.6,0.37,,,,
Study scripts to determine project requirements.,0.64,0.45,0.54,0.43,0.4,0.51,0.63,0.49,0.64,0.65,0.48,0.4,0.47,0.37,,,,
Read materials to determine needed actions.,0.68,0.59,0.52,0.4,0.36,0.38,0.73,0.55,0.68,0.75,0.54,0.42,0.64,0.37,,,,
Read maps to determine routes.,0.4,0.33,0.25,0.24,0.28,0.28,0.47,0.29,0.4,0.47,0.43,0.35,0.34,0.2,,,,
Review customer information.,0.53,0.4,0.51,0.38,0.42,0.54,0.58,0.42,0.53,0.6,0.42,0.51,0.47,0.26,,,,
Read work orders or other instructions to determine product specifications or materials requirements.,0.72,0.59,0.52,0.61,0.38,0.4,0.74,0.54,0.72,0.73,0.62,0.54,0.71,0.45,,,,
Read technical information needed to perform maintenance or repairs.,0.51,0.38,0.45,0.46,0.25,0.44,0.54,0.38,0.51,0.55,0.46,0.51,0.49,0.32,,,,
Study blueprints or other instructions to determine equipment setup requirements.,0.7,0.48,0.55,0.69,0.37,0.44,0.67,0.52,0.7,0.67,0.61,0.51,0.65,0.42,,,,
Read documents to gather technical information.,0.57,0.51,0.57,0.48,0.38,0.57,0.68,0.47,0.57,0.69,0.44,0.4,0.53,0.28,,,,
Review technical documents to plan work.,0.66,0.47,0.58,0.47,0.47,0.6,0.71,0.49,0.66,0.74,0.44,0.4,0.51,0.25,,,,
Review blueprints or specifications to determine work requirements.,0.61,0.46,0.56,0.47,0.37,0.48,0.65,0.53,0.61,0.66,0.52,0.47,0.48,0.32,,,,
Review work orders or schedules to determine operations or procedures.,0.68,0.49,0.56,0.5,0.39,0.5,0.69,0.54,0.68,0.71,0.55,0.54,0.59,0.35,,,,
Review blueprints or other instructions to determine operational methods or sequences.,0.69,0.51,0.54,0.71,0.39,0.44,0.65,0.5,0.69,0.66,0.57,0.45,0.65,0.39,,,,
Evaluate reports or designs to determine work needs.,0.7,0.5,0.59,0.38,0.44,0.63,0.75,0.52,0.7,0.78,0.55,0.49,0.52,0.31,,,,
Read work orders or descriptions of problems to determine repairs or modifications needed.,0.69,0.52,0.51,0.46,0.36,0.45,0.71,0.51,0.69,0.72,0.55,0.55,0.63,0.38,,,,
"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.",0.51,0.46,0.46,0.48,0.25,0.41,0.58,0.44,0.51,0.56,0.5,0.43,0.51,0.35,,,,
Review details of technical drawings or specifications.,0.6,0.46,0.47,0.47,0.41,0.47,0.63,0.43,0.6,0.62,0.47,0.42,0.47,0.26,,,,
Read work orders to determine material or setup requirements.,0.74,0.62,0.54,0.48,0.37,0.39,0.77,0.6,0.74,0.76,0.66,0.54,0.69,0.45,,,,
Collect evidence for legal proceedings.,0.56,0.41,0.58,0.36,0.22,0.48,0.52,0.47,0.56,0.57,0.39,0.3,0.49,0.31,,,,
Examine crime scenes to obtain evidence.,0.59,0.34,0.49,0.25,0.34,0.48,0.51,0.41,0.59,0.58,0.37,0.26,0.44,0.29,,,,
Investigate crimes committed within organizations.,0.48,0.36,0.57,0.25,0.34,0.45,0.46,0.44,0.48,0.52,0.33,0.26,0.45,0.33,,,,
Investigate legal issues.,0.56,0.37,0.64,0.28,0.34,0.48,0.56,0.51,0.56,0.6,0.36,0.33,0.47,0.28,,,,
Examine records or other types of data to investigate criminal activities.,0.65,0.55,0.56,0.4,0.28,0.46,0.66,0.54,0.65,0.67,0.57,0.4,0.67,0.46,,,,
Conduct hearings to investigate legal issues.,0.63,0.41,0.67,0.38,0.3,0.57,0.57,0.55,0.63,0.64,0.41,0.33,0.53,0.28,,,,
Investigate illegal or suspicious activities.,0.57,0.47,0.48,0.31,0.23,0.45,0.54,0.49,0.57,0.57,0.5,0.35,0.61,0.41,,,,
Obtain property information.,0.49,0.43,0.5,0.32,0.33,0.46,0.57,0.42,0.49,0.58,0.45,0.51,0.52,0.3,,,,
Use databases to locate investigation details or other information.,0.61,0.51,0.56,0.39,0.38,0.6,0.67,0.49,0.61,0.68,0.49,0.45,0.61,0.32,,,,
Search information sources to find specific data.,0.53,0.49,0.43,0.38,0.28,0.44,0.62,0.41,0.53,0.63,0.5,0.46,0.58,0.35,,,,
Gather financial records.,0.51,0.39,0.74,0.27,0.29,0.53,0.55,0.49,0.51,0.58,0.43,0.46,0.42,0.39,,,,
Retrieve information from electronic sources.,0.5,0.52,0.46,0.4,0.31,0.45,0.57,0.47,0.5,0.58,0.43,0.43,0.52,0.29,,,,
Gather information in order to provide services to clients.,0.6,0.48,0.52,0.43,0.34,0.45,0.66,0.46,0.6,0.67,0.49,0.53,0.55,0.33,,,,
"Search files, databases or reference materials to obtain needed information.",0.61,0.56,0.5,0.42,0.39,0.49,0.73,0.5,0.61,0.72,0.52,0.45,0.59,0.35,,,,
Collect archival data.,0.16,0.18,0.14,0.2,0.1,0.15,0.27,0.1,0.16,0.24,0.21,0.11,0.17,0.17,,,,
Evaluate information related to legal matters in public or personal records.,0.72,0.57,0.68,0.42,0.41,0.52,0.73,0.6,0.72,0.77,0.57,0.47,0.66,0.41,,,,
Research relevant legal materials to aid decision making.,0.69,0.52,0.66,0.41,0.41,0.54,0.69,0.55,0.69,0.74,0.52,0.44,0.61,0.41,,,,
Gather organizational performance information.,0.51,0.44,0.52,0.46,0.3,0.45,0.57,0.39,0.51,0.58,0.48,0.43,0.52,0.31,,,,
Gather information about work conditions or locations.,0.67,0.5,0.47,0.42,0.41,0.48,0.71,0.45,0.67,0.72,0.58,0.5,0.59,0.31,,,,
Gather physical survey data.,0.42,0.38,0.39,0.34,0.22,0.47,0.46,0.34,0.42,0.45,0.52,0.37,0.42,0.4,,,,
Collect data about project sites.,0.43,0.35,0.36,0.24,0.26,0.39,0.5,0.33,0.43,0.52,0.38,0.3,0.37,0.27,,,,
Obtain information about goods or services.,0.67,0.45,0.51,0.41,0.42,0.47,0.66,0.46,0.67,0.71,0.49,0.52,0.56,0.31,,,,
Research hydrologic features or processes.,0.5,0.41,0.43,0.37,0.28,0.47,0.55,0.38,0.5,0.57,0.44,0.37,0.47,0.32,,,,
Research geological features or processes.,0.55,0.46,0.47,0.36,0.36,0.49,0.59,0.43,0.55,0.61,0.45,0.38,0.49,0.33,,,,
Conduct climatological research.,0.22,0.16,0.25,0.15,0.15,0.38,0.23,0.13,0.22,0.27,0.25,0.26,0.23,0.23,,,,
Conduct surveys in organizations.,0.5,0.39,0.57,0.37,0.27,0.63,0.5,0.43,0.5,0.54,0.44,0.34,0.44,0.37,,,,
Research industrial processes or operations.,0.53,0.43,0.52,0.41,0.27,0.46,0.57,0.44,0.53,0.59,0.47,0.43,0.51,0.37,,,,
Conduct scientific research of organizational behavior or processes.,0.54,0.43,0.54,0.45,0.36,0.5,0.56,0.42,0.54,0.6,0.46,0.34,0.53,0.35,,,,
Research impacts of environmental conservation initiatives.,0.42,0.29,0.55,0.29,0.26,0.48,0.46,0.41,0.42,0.49,0.41,0.38,0.4,0.34,,,,
Research issues related to the environment or sustainable business practices.,0.63,0.45,0.62,0.42,0.42,0.52,0.66,0.48,0.63,0.71,0.49,0.46,0.55,0.37,,,,
Investigate the environmental impact of projects.,0.54,0.38,0.59,0.29,0.33,0.51,0.62,0.46,0.54,0.66,0.5,0.44,0.49,0.37,,,,
Monitor environmental impacts of production or development activities.,0.55,0.48,0.53,0.36,0.28,0.47,0.58,0.47,0.55,0.59,0.54,0.46,0.58,0.45,,,,
Research environmental impact of industrial or development activities.,0.54,0.46,0.55,0.36,0.3,0.5,0.57,0.46,0.54,0.59,0.53,0.45,0.56,0.42,,,,
Identify environmental concerns.,0.43,0.28,0.56,0.24,0.19,0.46,0.45,0.39,0.43,0.49,0.41,0.37,0.45,0.34,,,,
Evaluate environmental impact of operational or development activities.,0.54,0.45,0.56,0.39,0.25,0.49,0.58,0.45,0.54,0.59,0.56,0.47,0.58,0.43,,,,
Gather information for news stories.,0.58,0.41,0.52,0.28,0.52,0.6,0.55,0.42,0.58,0.63,0.32,0.34,0.45,0.2,,,,
Gather medical information from patient histories.,0.58,0.48,0.53,0.4,0.38,0.49,0.59,0.49,0.58,0.64,0.44,0.41,0.51,0.34,,,,
"Collect medical information from patients, family members, or other medical professionals.",0.62,0.5,0.56,0.4,0.35,0.45,0.62,0.51,0.62,0.65,0.47,0.42,0.57,0.36,,,,
"Collect information from people through observation, interviews, or surveys.",0.66,0.42,0.55,0.37,0.45,0.67,0.63,0.44,0.66,0.69,0.51,0.39,0.5,0.37,,,,
Collect information about clients.,0.51,0.44,0.48,0.39,0.31,0.47,0.59,0.38,0.51,0.6,0.42,0.4,0.48,0.27,,,,
Research livestock management methods.,0.48,0.4,0.52,0.41,0.3,0.48,0.53,0.42,0.48,0.54,0.47,0.44,0.5,0.38,,,,
Research crop management methods.,0.52,0.43,0.52,0.41,0.32,0.49,0.58,0.44,0.52,0.58,0.51,0.46,0.52,0.42,,,,
Research sustainable agricultural processes or practices.,0.52,0.42,0.52,0.42,0.3,0.45,0.53,0.43,0.52,0.57,0.43,0.41,0.5,0.37,,,,
Conduct market research.,0.55,0.36,0.57,0.37,0.34,0.6,0.54,0.4,0.55,0.59,0.47,0.49,0.49,0.38,,,,
Gather customer or product information to determine customer needs.,0.55,0.44,0.5,0.36,0.34,0.41,0.64,0.43,0.55,0.65,0.49,0.58,0.54,0.38,,,,
Obtain personal or financial information about customers or applicants.,0.63,0.55,0.69,0.42,0.36,0.51,0.66,0.54,0.63,0.68,0.54,0.53,0.61,0.41,,,,
Conduct opinion surveys or needs assessments.,0.56,0.37,0.59,0.4,0.3,0.7,0.52,0.44,0.56,0.57,0.5,0.4,0.44,0.38,,,,
Collect data about customer needs.,0.5,0.38,0.44,0.32,0.22,0.32,0.6,0.37,0.5,0.6,0.52,0.52,0.5,0.38,,,,
Observe individuals' activities to gather information or compile evidence.,0.65,0.57,0.56,0.45,0.36,0.57,0.67,0.52,0.65,0.7,0.57,0.43,0.63,0.42,,,,
Investigate personal characteristics or activities of individuals.,0.63,0.58,0.5,0.42,0.3,0.37,0.62,0.49,0.63,0.62,0.59,0.41,0.64,0.48,,,,
Research genetic characteristics or expression.,0.52,0.46,0.38,0.32,0.24,0.36,0.48,0.37,0.52,0.5,0.46,0.29,0.51,0.41,,,,
Research diseases or parasites.,0.38,0.36,0.33,0.19,0.23,0.41,0.39,0.34,0.38,0.42,0.35,0.26,0.42,0.32,,,,
Conduct research of processes in natural or industrial ecosystems.,0.59,0.52,0.53,0.4,0.29,0.45,0.63,0.49,0.59,0.65,0.54,0.45,0.6,0.41,,,,
Research microbiological or chemical processes or structures.,0.53,0.55,0.46,0.38,0.26,0.44,0.56,0.48,0.53,0.57,0.51,0.39,0.58,0.42,,,,
Classify organisms based on their characteristics or behavior.,0.54,0.53,0.39,0.31,0.21,0.29,0.54,0.43,0.54,0.55,0.51,0.31,0.61,0.44,,,,
Examine characteristics or behavior of living organisms.,0.52,0.49,0.35,0.3,0.18,0.27,0.5,0.4,0.52,0.52,0.47,0.28,0.55,0.39,,,,
Obtain documentation to authorize activities.,0.51,0.46,0.48,0.47,0.26,0.52,0.54,0.42,0.51,0.55,0.42,0.34,0.53,0.37,,,,
Obtain copyrights or other legal permissions.,0.55,0.43,0.53,0.33,0.33,0.36,0.56,0.47,0.55,0.61,0.35,0.28,0.59,0.24,,,,
Obtain written authorization to perform activities.,0.62,0.51,0.57,0.48,0.35,0.48,0.61,0.54,0.62,0.64,0.46,0.36,0.6,0.36,,,,
Conduct anthropological or archaeological research.,0.44,0.36,0.35,0.3,0.36,0.4,0.41,0.29,0.44,0.46,0.36,0.23,0.41,0.24,,,,
Conduct historical research.,0.5,0.33,0.45,0.31,0.47,0.5,0.46,0.3,0.5,0.52,0.37,0.35,0.38,0.29,,,,
Conduct research on social issues.,0.59,0.41,0.6,0.38,0.38,0.59,0.56,0.47,0.59,0.62,0.44,0.37,0.52,0.33,,,,
Research social issues.,0.56,0.39,0.58,0.31,0.43,0.56,0.56,0.45,0.56,0.61,0.41,0.36,0.48,0.32,,,,
Conduct research to increase knowledge about medical issues.,0.62,0.43,0.61,0.46,0.4,0.59,0.59,0.48,0.62,0.65,0.46,0.41,0.55,0.35,,,,
Collect information about community health needs.,0.6,0.47,0.59,0.39,0.36,0.5,0.65,0.51,0.6,0.69,0.51,0.48,0.57,0.35,,,,
Research engineering aspects of biological or chemical processes.,0.56,0.51,0.48,0.4,0.31,0.42,0.58,0.47,0.56,0.61,0.52,0.4,0.59,0.43,,,,
Research engineering applications of emerging technologies.,0.49,0.44,0.47,0.39,0.29,0.43,0.52,0.42,0.49,0.56,0.39,0.38,0.47,0.32,,,,
Research design or application of green technologies.,0.53,0.47,0.47,0.38,0.33,0.4,0.59,0.46,0.53,0.6,0.45,0.41,0.47,0.31,,,,
Conduct research to gain information about products or processes.,0.6,0.52,0.57,0.47,0.38,0.58,0.64,0.5,0.6,0.68,0.5,0.49,0.59,0.38,,,,
Research advanced engineering designs or applications.,0.5,0.43,0.43,0.43,0.31,0.39,0.51,0.39,0.5,0.53,0.41,0.39,0.46,0.3,,,,
"Research energy production, use, or conservation.",0.53,0.42,0.5,0.33,0.3,0.43,0.56,0.46,0.53,0.58,0.5,0.49,0.51,0.42,,,,